mention	count	valid_range
1374 geale	3	YES
2074 carabel	3	YES
2012 baxter	3	YES
401 he	3	SUSPECT
212 medic	3	SUSPECT
1494 woodward	3	YES
1380 webb	3	YES
1500 woodward	3	YES
2013 red	3	YES
270 if	3	SUSPECT
300 that	3	SUSPECT
2083 lark	3	YES
56180 brown	3	SUSPECT
225 could	3	SUSPECT
510 medic	3	SUSPECT
13809 clifton	3	YES
2100 lakeside	3	YES
2013 volkswagen	3	YES
210 if	3	SUSPECT
2053 caravelle	3	YES
220 if	3	SUSPECT
327 of	3	SUSPECT
12223 madison	3	YES
225 to	3	SUSPECT
14047 madison	3	YES
212 207	3	SUSPECT
116 in	3	SUSPECT
2005 carabel	3	YES
204 207	3	SUSPECT
1545 elmwood	3	YES
1192 westlake	3	YES
204 you	3	SUSPECT
15314 detroit	3	YES
1655 woodward	3	YES
204 we	3	SUSPECT
1357 beach	3	YES
1445 woodward	3	YES
1645 robinwood	3	YES
1550 lakeland	3	YES
204 go	3	SUSPECT
1211 cook	3	YES
1621 belle	3	YES
1516 lauderdale	3	YES
1472 coutant	3	YES
2011 hyundai	3	YES
2085 halsted	3	YES
1633 st	3	YES
503 medic	3	SUSPECT
1466 woodward	3	YES
17439 northwood	3	YES
219 216	3	SUSPECT
14877 detroit	3	YES
1485 mars	3	YES
1214 hall	3	YES
1495 roycroft	3	YES
2011 gray	3	YES
1570 rosewood	3	YES
215 could	3	SUSPECT
15721 madison	3	YES
117 pulling	3	SUSPECT
16300 hilliard	3	YES
205 in	3	SUSPECT
1661 victoria	3	YES
2285 warren	3	YES
2019 dodge	3	YES
2256 emily	3	YES
100 madison	3	SUSPECT
1539 coutant	3	YES
208 medic	3	SUSPECT
302 for	3	SUSPECT
2009 gray	3	YES
2036 quail	3	YES
1206 west	3	YES
2201 bunts	3	YES
1650 woodward	3	YES
57170 black	3	SUSPECT
18626 detroit	3	YES
12504 detroit	3	YES
2023 mercedes	3	YES
4100 detroit	3	SUSPECT
227 are	3	SUSPECT
1439 newman	3	YES
2026 mckinley	3	YES
2004 ford	3	YES
1325 sloan	3	YES
225 for	3	SUSPECT
220 respond	3	SUSPECT
1212 donald	3	YES
505 medic	3	SUSPECT
1567 ridgewood	3	YES
200 pounds	3	SUSPECT
2121 riverside	3	YES
2023 kia	3	YES
1449 medic	3	YES
215 does	3	SUSPECT
2054 robin	3	YES
2047 ferndale	3	YES
612 medic	3	SUSPECT
200 and	3	SUSPECT
11725 clifton	3	YES
10410 you	3	SUSPECT
29117 to	3	SUSPECT
1991 34	3	YES
5425 detroit	3	SUSPECT
1472 northland	3	YES
2012 dodge	3	YES
11820 at	3	YES
104 dispatch	3	SUSPECT
2002 05	3	YES
2197 woodward	3	YES
108 from	3	SUSPECT
1345 number	3	YES
1849 edgewater	3	YES
191 17	3	SUSPECT
107 please	3	SUSPECT
13405 medic	3	YES
425 can	3	SUSPECT
601 madison	3	SUSPECT
2026 37	3	YES
2018 nissan	3	YES
2017 waterbury	3	YES
1384 giel	3	YES
2105 wascana	3	YES
200 traffic	3	SUSPECT
3302 detroit	3	SUSPECT
123 and	3	SUSPECT
1247 brockley	3	YES
1581 cohassett	3	YES
415 you	3	SUSPECT
305 and	3	SUSPECT
2023 honda	3	YES
2083 clearance	3	YES
14881 detroit	3	YES
2026 54	3	YES
2003 23	3	YES
1993 05	3	YES
28108 stop	3	SUSPECT
104 report	3	SUSPECT
1221 brockley	3	YES
1271 warren	3	YES
430 west	3	SUSPECT
10421 disregard	3	SUSPECT
2026 she	3	YES
415 new	3	SUSPECT
2052 lark	3	YES
104 if	3	SUSPECT
1015 you	3	YES
200 copy	3	SUSPECT
1425 rockway	3	YES
2193 lincoln	3	YES
18097 clifton	3	YES
306 detroit	3	SUSPECT
2919 clifton	3	SUSPECT
2026 73	3	YES
900 detroit	3	SUSPECT
1995 30	3	YES
2104 robin	3	YES
17413 woodford	3	YES
1532 parkwood	3	YES
1488 cordova	3	YES
108 stop	3	SUSPECT
104 that	3	SUSPECT
17845 lake	3	YES
15007 madison	3	YES
2047 lake	3	YES
2152 lewis	3	YES
52120 brown	3	SUSPECT
1661 bunts	3	YES
4100 franklin	3	SUSPECT
1275 donald	3	YES
1985 40	3	YES
16819 madison	3	YES
1266 medic	3	YES
1589 newman	3	YES
104 what	3	SUSPECT
15704 lakewood	3	YES
15117 franklin	3	YES
1016 can	3	YES
1229 manor	3	YES
2011 honda	3	YES
861 detroit	3	SUSPECT
3511 detroit	3	SUSPECT
1416 ridgewood	3	YES
1333 cove	3	YES
16719 detroit	3	YES
1850 south	3	YES
15018 hilliard	3	YES
280 you	3	SUSPECT
18895 detroit	3	YES
1811 lake	3	YES
1430 park	3	YES
14013 clifton	3	YES
2015 silver	3	YES
1296 saint	3	YES
2004 22	3	YES
1428 ridgewood	3	YES
17618 franklin	3	YES
13509 merl	3	YES
1701 detroit	3	YES
11818 south	3	YES
104 be	3	SUSPECT
17107 1	3	YES
2135 riverside	3	YES
2140 woodward	3	YES
14521 madison	3	YES
1839 edgewater	3	YES
901 and	3	SUSPECT
104 a	3	SUSPECT
1503 cohassett	3	YES
277 cove	3	SUSPECT
736 medic	3	SUSPECT
810 i	3	SUSPECT
18616 18616	3	YES
1570 larchmont	3	YES
1997 28	3	YES
2105 brown	3	YES
18258 flown	3	YES
11855 lake	3	YES
422 disregard	3	SUSPECT
400 madison	3	SUSPECT
1681 waterbury	3	YES
14587 madison	3	YES
100 woodhouse	3	SUSPECT
1625 lakewood	3	YES
12400 apartment	3	YES
248 copy	3	SUSPECT
117 union	3	SUSPECT
3123 detroit	3	SUSPECT
2015 subaru	3	YES
2027 expires	3	YES
149 copy	3	SUSPECT
2026 34	3	YES
1657 wagar	3	YES
2006 20	3	YES
1383 bonnyville	3	YES
220 9	3	SUSPECT
14311 madison	3	YES
1459 arthur	3	YES
125 at	3	SUSPECT
1418 lincoln	3	YES
2207 chesterland	3	YES
1284 manor	3	YES
1470 west	2	YES
2032 w	2	YES
211 call	2	SUSPECT
117 white	2	SUSPECT
180 blonde	2	SUSPECT
147 40	2	SUSPECT
5243 on	2	SUSPECT
279 i	2	SUSPECT
122 i'll	2	SUSPECT
1384 lakeland	2	YES
923 of	2	SUSPECT
629 you	2	SUSPECT
1236 brockley	2	YES
2186 lincoln	2	YES
713 of	2	SUSPECT
203 this	2	SUSPECT
217 stall	2	SUSPECT
1256 webb	2	YES
289 copy	2	SUSPECT
127 7	2	SUSPECT
2006 honda	2	YES
106 would	2	SUSPECT
239 59	2	SUSPECT
239 medic	2	SUSPECT
1264 cranford	2	YES
229 new	2	SUSPECT
1486 coutant	2	YES
229 just	2	SUSPECT
218 24	2	SUSPECT
2013 nissan	2	YES
198 brown	2	SUSPECT
2209 atkinson	2	YES
210 we're	2	SUSPECT
2119 belle	2	YES
270 i	2	SUSPECT
229 222	2	SUSPECT
11725 lake	2	YES
211 one	2	SUSPECT
540 madison	2	SUSPECT
290 black	2	SUSPECT
1554 hopkins	2	YES
13300 bramley	2	YES
130 on	2	SUSPECT
211 with	2	SUSPECT
320 dl	2	SUSPECT
117 06	2	SUSPECT
1521 lincoln	2	YES
209 218	2	SUSPECT
229 name	2	SUSPECT
629 we'll	2	SUSPECT
1538 w	2	YES
911 sounds	2	SUSPECT
202 give	2	SUSPECT
2206 detroit	2	YES
223 dispatch	2	SUSPECT
11849 edgeworth	2	YES
305 male	2	SUSPECT
118 9	2	SUSPECT
840 a	2	SUSPECT
1390 detroit	2	YES
202 does	2	SUSPECT
1589 rockway	2	YES
156 20	2	SUSPECT
2235 northland	2	YES
17841 cannon	2	YES
102 respond	2	SUSPECT
1345 west	2	YES
211 6	2	SUSPECT
1380 clearance	2	YES
1378 lakewood	2	YES
1630 wagar	2	YES
713 i	2	SUSPECT
506 a	2	SUSPECT
506 male	2	SUSPECT
2009 riverside	2	YES
213 radio	2	SUSPECT
1441 robinwood	2	YES
245 zebra	2	SUSPECT
61182 black	2	SUSPECT
229 disregard	2	SUSPECT
422 of	2	SUSPECT
1490 coutant	2	YES
916 of	2	SUSPECT
105 not	2	SUSPECT
317 i'll	2	SUSPECT
317 10-7	2	SUSPECT
203 17	2	SUSPECT
217 we	2	SUSPECT
703 sheila	2	SUSPECT
229 221	2	SUSPECT
218 there's	2	SUSPECT
1275 cove	2	YES
100 detroit	2	SUSPECT
219 10-4	2	SUSPECT
414 third	2	SUSPECT
2145 atkins	2	YES
119 0	2	SUSPECT
730 of	2	SUSPECT
1122 of	2	YES
1445 lakewood	2	YES
207 you're	2	SUSPECT
1475 woodward	2	YES
213 205	2	SUSPECT
2031 robin	2	YES
320 of	2	SUSPECT
211 2	2	SUSPECT
1145 for	2	YES
1906 madison	2	YES
1251 summit	2	YES
2017 buick	2	YES
149 57	2	SUSPECT
2015 kia	2	YES
205 same	2	SUSPECT
213 here	2	SUSPECT
1240 madison	2	YES
1900 detroit	2	YES
205 yes	2	SUSPECT
249 i'm	2	SUSPECT
13418 clifton	2	YES
2019 white	2	YES
1112 of	2	YES
59150 brown	2	SUSPECT
911 he's	2	SUSPECT
003 adam	2	SUSPECT
52135 brown	2	SUSPECT
117 1	2	SUSPECT
666 666	2	SUSPECT
223 copy	2	SUSPECT
1443 lakewood	2	YES
1592 winton	2	YES
211 he	2	SUSPECT
975 adam	2	SUSPECT
282 i'll	2	SUSPECT
15404 madison	2	YES
329 traffic	2	SUSPECT
155 33	2	SUSPECT
61180 brown	2	SUSPECT
209 on	2	SUSPECT
278 10-8	2	SUSPECT
12975 emerson	2	YES
203 has	2	SUSPECT
1600 nm	2	YES
305 complainant's	2	SUSPECT
217 he's	2	SUSPECT
203 code	2	SUSPECT
2020 dark	2	YES
1509 northland	2	YES
18400 detroit	2	YES
2019 blue	2	YES
2195 lincoln	2	YES
210 blonde	2	SUSPECT
229 224	2	SUSPECT
180 hazel	2	SUSPECT
421 disregard	2	SUSPECT
172 brown	2	SUSPECT
2037 warren	2	YES
214 female	2	SUSPECT
1249 manor	2	YES
200 yacht	2	SUSPECT
205 black	2	SUSPECT
225 10-8	2	SUSPECT
205 202	2	SUSPECT
122 thank	2	SUSPECT
213 224	2	SUSPECT
2118 chesterland	2	YES
221 at	2	SUSPECT
138 for	2	SUSPECT
229 rush	2	SUSPECT
1481 clifton	2	YES
287 go	2	SUSPECT
1107 medic	2	YES
710 83	2	SUSPECT
2135 olive	2	YES
1491 coutant	2	YES
216 217	2	SUSPECT
245 disregard	2	SUSPECT
329 i	2	SUSPECT
310 i	2	SUSPECT
2125 concord	2	YES
117 question	2	SUSPECT
1384 heard	2	YES
117 13	2	SUSPECT
1560 west	2	YES
1079 parkside	2	YES
224 26	2	SUSPECT
1487 waterbury	2	YES
129 76	2	SUSPECT
221 thanks	2	SUSPECT
272 are	2	SUSPECT
12900 lakewood	2	YES
206 10-8	2	SUSPECT
1370 elber	2	YES
2015 hyundai	2	YES
2006 black	2	YES
1131 medic	2	YES
514 of	2	SUSPECT
2505 for	2	SUSPECT
101 i'm	2	SUSPECT
1256 edwards	2	YES
1599 lincoln	2	YES
1678 roosevelt	2	YES
0404 hours	2	SUSPECT
135 black	2	SUSPECT
219 do	2	SUSPECT
221 3	2	SUSPECT
1100 hours	2	YES
209 detroit	2	SUSPECT
216 to	2	SUSPECT
000 00	2	SUSPECT
210 go	2	SUSPECT
158 brown	2	SUSPECT
375 cash	2	SUSPECT
230 and	2	SUSPECT
12204 madison	2	YES
209 did	2	SUSPECT
9645 complaint	2	SUSPECT
1315 bonnevue	2	YES
1495 riverside	2	YES
2026 jeep	2	YES
202 1	2	SUSPECT
202 it	2	SUSPECT
117 go	2	SUSPECT
211 17	2	SUSPECT
202 disregard	2	SUSPECT
1295 eden	2	YES
212 16	2	SUSPECT
317 i'm	2	SUSPECT
17443 clifton	2	YES
205 this	2	SUSPECT
2003 honda	2	YES
2000 toyota	2	YES
2026 63	2	YES
205 newman	2	SUSPECT
272 you	2	SUSPECT
823 of	2	SUSPECT
205 ennis	2	SUSPECT
15320 detroit	2	YES
2040 robin	2	YES
208 we	2	SUSPECT
820 and	2	SUSPECT
2104 wisconsin	2	YES
12400 mass	2	YES
825 of	2	SUSPECT
117 department	2	SUSPECT
2369 northland	2	YES
2094 richland	2	YES
136 brown	2	SUSPECT
18260 detroit	2	YES
2021 carabel	2	YES
117 10-8	2	SUSPECT
237 go	2	SUSPECT
259 copy	2	SUSPECT
14401 to	2	YES
1239 donald	2	YES
17475 lakewood	2	YES
117 no	2	SUSPECT
120 20	2	SUSPECT
2025 honda	2	YES
215 bed	2	SUSPECT
24311 east	2	SUSPECT
2081 waterbury	2	YES
213 check	2	SUSPECT
205 i've	2	SUSPECT
630 25	2	SUSPECT
13030 madison	2	YES
1570 bridgewood	2	YES
901 saying	2	SUSPECT
1451 clifton	2	YES
1498 winchester	2	YES
1605 lakewood	2	YES
109 for	2	SUSPECT
209 at	2	SUSPECT
14740 lh	2	YES
1326 phelps	2	YES
200 into	2	SUSPECT
100 trade	2	SUSPECT
293 12	2	SUSPECT
214 29	2	SUSPECT
1637 cordova	2	YES
702 she	2	SUSPECT
203 3	2	SUSPECT
217 thank	2	SUSPECT
18500 detroit	2	YES
911 said	2	SUSPECT
120 75	2	SUSPECT
241 i'll	2	SUSPECT
2037 clearance	2	YES
202 number	2	SUSPECT
1606 west	2	YES
217 218	2	SUSPECT
223 can	2	SUSPECT
605 female	2	SUSPECT
687 221	2	SUSPECT
14612 clifton	2	YES
15644 madison	2	YES
1577 hopkins	2	YES
146 23	2	SUSPECT
217 we'll	2	SUSPECT
2014 bmw	2	YES
1485 cordova	2	YES
129 59	2	SUSPECT
119 26	2	SUSPECT
1584 cordova	2	YES
1335 cranford	2	YES
211 hold	2	SUSPECT
291 90	2	SUSPECT
2007 blue	2	YES
219 please	2	SUSPECT
1389 gale	2	YES
14314 lakewood	2	YES
236 valid	2	SUSPECT
531 for	2	SUSPECT
202 will	2	SUSPECT
1115 homewood	2	YES
231 we're	2	SUSPECT
217 205	2	SUSPECT
212 run	2	SUSPECT
1595 ridgewood	2	YES
1595 1595	2	YES
320 to	2	SUSPECT
212 detroit	2	SUSPECT
1623 clearance	2	YES
209 if	2	SUSPECT
220 225	2	SUSPECT
225 is	2	SUSPECT
209 hilliard	2	SUSPECT
1373 lakeland	2	YES
4300 or	2	SUSPECT
125 05	2	SUSPECT
2005 nissan	2	YES
214 called	2	SUSPECT
14717 detroit	2	YES
217 respond	2	SUSPECT
206 could	2	SUSPECT
14327 madison	2	YES
282 283	2	SUSPECT
283 284	2	SUSPECT
284 285	2	SUSPECT
285 286	2	SUSPECT
286 287	2	SUSPECT
287 288	2	SUSPECT
288 289	2	SUSPECT
289 281	2	SUSPECT
15316 clifton	2	YES
319 for	2	SUSPECT
2082 mcgee	2	YES
1628 west	2	YES
335 335	2	SUSPECT
218 do	2	SUSPECT
2013 volvo	2	YES
117 there	2	SUSPECT
1330 webb	2	YES
174 795	2	SUSPECT
1195 echo	2	YES
250 off	2	SUSPECT
2026 buick	2	YES
202 we	2	SUSPECT
1447 medic	2	YES
911 calls	2	SUSPECT
1348 bonnevue	2	YES
1600 w	2	YES
205 thanks	2	SUSPECT
16107 ending	2	YES
206 207	2	SUSPECT
206 detroit	2	SUSPECT
1290 west	2	YES
21850 edgewater	2	SUSPECT
511 190	2	SUSPECT
200 i'll	2	SUSPECT
206 listing	2	SUSPECT
1523 roy	2	YES
262 are	2	SUSPECT
2025 great	2	YES
21849 clifton	2	SUSPECT
147 at	2	SUSPECT
57185 black	2	SUSPECT
714 of	2	SUSPECT
301 samuel	2	SUSPECT
120 black	2	SUSPECT
911 she	2	SUSPECT
55200 brown	2	SUSPECT
2015 lakeland	2	YES
163 163	2	SUSPECT
57130 brown	2	SUSPECT
2035 wiscona	2	YES
410 if	2	SUSPECT
6363 is	2	SUSPECT
239 and	2	SUSPECT
122 madison	2	SUSPECT
216 205	2	SUSPECT
401 complaint	2	SUSPECT
003 david	2	SUSPECT
113 brown	2	SUSPECT
228 do	2	SUSPECT
1241 for	2	YES
14312 to	2	YES
1900 edgewater	2	YES
219 217	2	SUSPECT
13506 lake	2	YES
115 brown	2	SUSPECT
902 medic	2	SUSPECT
219 the	2	SUSPECT
212 they're	2	SUSPECT
218 20	2	SUSPECT
513 for	2	SUSPECT
233 and	2	SUSPECT
17503 narragansett	2	YES
1290 virginia	2	YES
2907 clifton	2	SUSPECT
1211 gladys	2	YES
221 27	2	SUSPECT
165 11	2	SUSPECT
117 black	2	SUSPECT
12541 lake	2	YES
1629 mars	2	YES
209 track	2	SUSPECT
506 edgewater	2	SUSPECT
216 medic	2	SUSPECT
143 hunter	2	SUSPECT
911 i'm	2	SUSPECT
1556 went	2	YES
209 10-4	2	SUSPECT
2025 she	2	YES
1111 of	2	YES
209 do	2	SUSPECT
206 to	2	SUSPECT
11800 i	2	YES
177 at	2	SUSPECT
1474 clearance	2	YES
209 edwards	2	SUSPECT
1007 medic	2	YES
2015 atkins	2	YES
135 for	2	SUSPECT
1535 hopkins	2	YES
2051 quail	2	YES
2035 quail	2	YES
226 you	2	SUSPECT
211 put	2	SUSPECT
224 229	2	SUSPECT
217 1	2	SUSPECT
2020 i	2	YES
543 5	2	SUSPECT
17529 madison	2	YES
249 traffic	2	SUSPECT
809 84	2	SUSPECT
221 if	2	SUSPECT
651 69-year-old	2	SUSPECT
651 medical	2	SUSPECT
17873 lake	2	YES
1309 cranford	2	YES
217 117	2	SUSPECT
217 car	2	SUSPECT
217 listing	2	SUSPECT
325 black	2	SUSPECT
219 you	2	SUSPECT
17012 madison	2	YES
819 of	2	SUSPECT
110 i	2	SUSPECT
186 at	2	SUSPECT
717 of	2	SUSPECT
151 29	2	SUSPECT
612 for	2	SUSPECT
168 12	2	SUSPECT
4616 central	2	SUSPECT
12408 madison	2	YES
1110 i	2	YES
160 red	2	SUSPECT
1272 idawood	2	YES
1232 warren	2	YES
702 for	2	SUSPECT
209 we'll	2	SUSPECT
1515 coutant	2	YES
222 223	2	SUSPECT
15400 edgewater	2	YES
2010 cadillac	2	YES
1619 hopkins	2	YES
125 in	2	SUSPECT
203 10-4	2	SUSPECT
1046 medic	2	YES
181 20th	2	SUSPECT
242 i	2	SUSPECT
1671 lincoln	2	YES
2020 bmw	2	YES
205 did	2	SUSPECT
1547 mars	2	YES
205 try	2	SUSPECT
14018 detroit	2	YES
2009 bunts	2	YES
11735 lake	2	YES
209 warren	2	SUSPECT
425 of	2	SUSPECT
1332 cook	2	YES
724 of	2	SUSPECT
1443 hopkins	2	YES
251 9	2	SUSPECT
206 medical	2	SUSPECT
2010 mazda	2	YES
930 at	2	SUSPECT
112 king	2	SUSPECT
14421 delaware	2	YES
511 260	2	SUSPECT
17614 riverway	2	YES
17459 lake	2	YES
203 kufner	2	SUSPECT
11830 lake	2	YES
1481 in	2	YES
203 check	2	SUSPECT
221 check	2	SUSPECT
2125 carabel	2	YES
1437 grace	2	YES
14604 clifton	2	YES
1660 winton	2	YES
208 she	2	SUSPECT
1434 graver	2	YES
1434 graber	2	YES
1181 virginia	2	YES
219 code	2	SUSPECT
1611 grace	2	YES
1225 cranford	2	YES
217 215	2	SUSPECT
179 brown	2	SUSPECT
118 41	2	SUSPECT
273 you	2	SUSPECT
105 563	2	SUSPECT
213 cars	2	SUSPECT
303 for	2	SUSPECT
211 okay	2	SUSPECT
703 engine	2	SUSPECT
14213 detroit	2	YES
309 83	2	SUSPECT
230 at	2	SUSPECT
2088 lakeland	2	YES
108 the	2	SUSPECT
233 at	2	SUSPECT
1640 hopkins	2	YES
817 of	2	SUSPECT
120 blonde	2	SUSPECT
1456 alameda	2	YES
2010 gray	2	YES
211 there's	2	SUSPECT
1230 heard	2	YES
117 call	2	SUSPECT
201 could	2	SUSPECT
12520 arliss	2	YES
221 caveat	2	SUSPECT
408 i	2	SUSPECT
403 or	2	SUSPECT
1595 woodward	2	YES
12501 plover	2	YES
414 for	2	SUSPECT
1615 go	2	YES
1466 lakeland	2	YES
1358 cove	2	YES
272 we're	2	SUSPECT
217 copy	2	SUSPECT
208 where	2	SUSPECT
621 219	2	SUSPECT
1220 of	2	YES
2236 brown	2	YES
1516 cordova	2	YES
614 of	2	SUSPECT
820 edgewater	2	SUSPECT
287 i	2	SUSPECT
1643 cohasset	2	YES
208 one	2	SUSPECT
1116 of	2	YES
914 of	2	SUSPECT
1626 lincoln	2	YES
119 lake	2	SUSPECT
211 car's	2	SUSPECT
1433 marth	2	YES
518 of	2	SUSPECT
1669 alameda	2	YES
1380 riverside	2	YES
328 lunch	2	SUSPECT
320 i'm	2	SUSPECT
223 we'll	2	SUSPECT
203 added	2	SUSPECT
205 you've	2	SUSPECT
1564 coutant	2	YES
2007 chrysler	2	YES
272 and	2	SUSPECT
19607 detroit	2	SUSPECT
870 beach	2	SUSPECT
1440 robinwood	2	YES
169 0	2	SUSPECT
14306 to	2	YES
932 male	2	SUSPECT
1171 virginia	2	YES
2015 richland	2	YES
2150 mars	2	YES
1381 bonce	2	YES
510 newman	2	SUSPECT
105 and	2	SUSPECT
312 i'm	2	SUSPECT
2011 lark	2	YES
1346 call	2	YES
203 no	2	SUSPECT
17319 freeze	2	YES
211 216	2	SUSPECT
216 notes	2	SUSPECT
1311 matthews	2	YES
312 medic	2	SUSPECT
220 park	2	SUSPECT
213 214	2	SUSPECT
1023 of	2	YES
2110 waterbury	2	YES
2046 waterbury	2	YES
1270 code	2	YES
1270 cove	2	YES
1427 robinwood	2	YES
2195 warren	2	YES
2019 with	2	YES
216 code	2	SUSPECT
606 medic	2	SUSPECT
2012 actually	2	YES
219 you're	2	SUSPECT
15107 on	2	YES
209 or	2	SUSPECT
2027 27	2	YES
346 maintenance	2	SUSPECT
346 medic	2	SUSPECT
201 what's	2	SUSPECT
14401 madison	2	YES
2049 lincoln	2	YES
2129 waterbury	2	YES
2010 gmc	2	YES
112 brown	2	SUSPECT
14625 madison	2	YES
221 respond	2	SUSPECT
280 i'm	2	SUSPECT
18890 timber	2	YES
2023 white	2	YES
300 that's	2	SUSPECT
910 for	2	SUSPECT
329 216	2	SUSPECT
117 of	2	SUSPECT
13512 elber	2	YES
1423 ridgewood	2	YES
1335 edwards	2	YES
1653 northland	2	YES
1010 i	2	YES
147 01	2	SUSPECT
522 medic	2	SUSPECT
1625 riverside	2	YES
220 that	2	SUSPECT
230 to	2	SUSPECT
111 10-7	2	SUSPECT
15210 madison	2	YES
145 360	2	SUSPECT
179 10	2	SUSPECT
15637 madison	2	YES
1261 west	2	YES
414 and	2	SUSPECT
224 213	2	SUSPECT
1554 orchard	2	YES
14547 madison	2	YES
1589 hopkins	2	YES
2121 mckinley	2	YES
1360 bonnevue	2	YES
12040 lake	2	YES
1587 winchester	2	YES
17907 lake	2	YES
1632 lakewood	2	YES
1464 alameda	2	YES
1353 matthews	2	YES
2014 chrysler	2	YES
220 at	2	SUSPECT
13460 lake	2	YES
114 max	2	SUSPECT
1388 beach	2	YES
740 for	2	SUSPECT
205 give	2	SUSPECT
1485 robinwood	2	YES
1252 marlo	2	YES
207 when	2	SUSPECT
508 female	2	SUSPECT
14217 athens	2	YES
303 i'll	2	SUSPECT
135 on	2	SUSPECT
203 myself	2	SUSPECT
259 i'll	2	SUSPECT
911 again	2	SUSPECT
1575 lewis	2	YES
135 11	2	SUSPECT
153 black	2	SUSPECT
519 75	2	SUSPECT
2246 northland	2	YES
2246 north	2	YES
2013 gmc	2	YES
2239 northland	2	YES
302 at	2	SUSPECT
125 0	2	SUSPECT
13428 merle	2	YES
329 madison	2	SUSPECT
218 over	2	SUSPECT
1298 virginia	2	YES
1212 virginia	2	YES
1048 summit	2	YES
220 please	2	SUSPECT
13401 detroit	2	YES
211 driver	2	SUSPECT
229 vehicle	2	SUSPECT
15622 lakewood	2	YES
223 you	2	SUSPECT
1356 hall	2	YES
1301 herd	2	YES
1370 sloanville	2	YES
216 did	2	SUSPECT
118 68	2	SUSPECT
205 they're	2	SUSPECT
216 219	2	SUSPECT
1115 of	2	YES
210 brown	2	SUSPECT
14650 detroit	2	YES
1582 rosewood	2	YES
211 2b	2	SUSPECT
229 3	2	SUSPECT
120 05	2	SUSPECT
1301 matthews	2	YES
220 listing	2	SUSPECT
221 we	2	SUSPECT
628 copy	2	SUSPECT
140 300	2	SUSPECT
2196 lewis	2	YES
802 for	2	SUSPECT
1515 rosewood	2	YES
226 hang	2	SUSPECT
324 of	2	SUSPECT
205 north	2	SUSPECT
12037 lake	2	YES
117 01	2	SUSPECT
222 21	2	SUSPECT
205 ds	2	SUSPECT
1150 linda	2	YES
211 stall	2	SUSPECT
105 brown	2	SUSPECT
13465 franklin	2	YES
261 and	2	SUSPECT
2150 warren	2	YES
216 215	2	SUSPECT
129 i'm	2	SUSPECT
111 of	2	SUSPECT
000 at	2	SUSPECT
118 2	2	SUSPECT
203 please	2	SUSPECT
2024 gray	2	YES
1481 mail	2	YES
209 it's	2	SUSPECT
205 209	2	SUSPECT
2002 richland	2	YES
1220 6	2	YES
219 4	2	SUSPECT
215 what's	2	SUSPECT
830 of	2	SUSPECT
1026 67	2	YES
215 notes	2	SUSPECT
2019 gmc	2	YES
1239 cook	2	YES
214 219	2	SUSPECT
1032 moorewood	2	YES
270 they're	2	SUSPECT
214 we're	2	SUSPECT
1406 detroit	2	YES
219 or	2	SUSPECT
12955 clifton	2	YES
219 with	2	SUSPECT
229 29	2	SUSPECT
220 a	2	SUSPECT
1272 idlewood	2	YES
1539 roycroft	2	YES
13733 madison	2	YES
357 at	2	SUSPECT
201 24	2	SUSPECT
1500 hours	2	YES
117 90	2	SUSPECT
14533 clifton	2	YES
618 ashley	2	SUSPECT
233 male	2	SUSPECT
2024 subaru	2	YES
402 for	2	SUSPECT
2006 silver	2	YES
620 and	2	SUSPECT
169 under	2	SUSPECT
228 10-7	2	SUSPECT
168 21	2	SUSPECT
390 eastbound	2	SUSPECT
223 traffic	2	SUSPECT
2026 26	2	YES
309 10-8	2	SUSPECT
511 74	2	SUSPECT
2097 halstead	2	YES
220 anthony	2	SUSPECT
2178 lewis	2	YES
57155 black	2	SUSPECT
500 cash	2	SUSPECT
221 thank	2	SUSPECT
218 on	2	SUSPECT
2093 clearance	2	YES
116 i	2	SUSPECT
209 respond	2	SUSPECT
13107 ending	2	YES
1423 athens	2	YES
131 7-8	2	SUSPECT
1003 male	2	YES
2170 elber	2	YES
2025 29	2	YES
209 from	2	SUSPECT
185 black	2	SUSPECT
225 i'll	2	SUSPECT
1444 coutant	2	YES
224 6	2	SUSPECT
15526 madison	2	YES
4530 clifton	2	SUSPECT
14724 clifton	2	YES
1423 male	2	YES
238 866	2	SUSPECT
523 of	2	SUSPECT
120 37	2	SUSPECT
15302 arden	2	YES
810 adam	2	SUSPECT
213 206	2	SUSPECT
1439 clifton	2	YES
155 blonde	2	SUSPECT
1597 winton	2	YES
228 to	2	SUSPECT
228 will	2	SUSPECT
125 25	2	SUSPECT
745 245	2	SUSPECT
245 745	2	SUSPECT
215 keystar	2	SUSPECT
1388 cranford	2	YES
205 thank	2	SUSPECT
202 10-8	2	SUSPECT
215 the	2	SUSPECT
278 3	2	SUSPECT
211 roger	2	SUSPECT
215 please	2	SUSPECT
384 384	2	SUSPECT
214 will	2	SUSPECT
16724 lake	2	YES
2025 mercedes	2	YES
636 1	2	SUSPECT
2000 white	2	YES
204 at	2	SUSPECT
214 on	2	SUSPECT
205 name	2	SUSPECT
903 826	2	SUSPECT
16104 hilliard	2	YES
511 150	2	SUSPECT
123 copy	2	SUSPECT
305 copy	2	SUSPECT
1483 ridgewood	2	YES
2010 jeep	2	YES
312 of	2	SUSPECT
2325 niagara	2	YES
215 she	2	SUSPECT
618 i'll	2	SUSPECT
1450 riverside	2	YES
2019 ram	2	YES
