bigram	count
can destroy	8
was quite	8
i'm hilliard	8
to treat	8
208 i	8
who's not	8
hope you're	8
now that's	8
camera footage	8
of 79	8
the bunts	8
bunts is	8
like 2	8
ahead engine	8
with 5	8
the iax	8
iax number	8
still got	8
building there	8
the glass	8
lane on	8
parkway for	8
alright we'll	8
will try	8
from drug	8
a court	8
okay let	8
on how	8
are okay	8
officer said	8
got up	8
or where	8
light colored	8
running westbound	8
you sign	8
call here	8
coming i'm	8
224 you	8
1 right	8
this list	8
on olive	8
his bedroom	8
9 or	8
and westlake	8
times with	8
25 they're	8
there yesterday	8
tree and	8
boulevard and	8
it's currently	8
cleveland called	8
pills and	8
0 on	8
over now	8
with 24	8
room to	8
is called	8
9-3 is	8
6-8 copy	8
towed for	8
6 10-4	8
at garfield	8
12 29	8
number 519	8
the stretcher	8
in bay	8
left behind	8
her side	8
clifton can	8
1 dispatch	8
notes but	8
every day	8
well so	8
favor and	8
george boyd	8
a the	8
to peer	8
home health	8
a chair	8
yes he's	8
just please	8
left but	8
125-06 edgewater	8
cleveland now	8
wants him	8
i'm 117th	8
the 19th	8
resident just	8
warrant on	8
help and	8
wait in	8
3 she's	8
5th 3rd	8
living in	8
their property	8
a placard	8
forest cliff	8
cliff drive	8
1 wearing	8
he's like	8
everyone was	8
flagged over	8
so be	8
plate sam	8
him it's	8
to miss	8
call 1-800-bets-off	8
be as	8
house as	8
hazel she's	8
berea i'll	8
2010 black	8
10-4 in	8
dl or	8
center and	8
card expired	8
jail food	8
at 2033	8
lakewood on	8
front doors	8
they're talking	8
to each	8
juveniles were	8
lakewood emergency	8
some trouble	8
and rolling	8
meet that	8
1341 marlow	8
area 10-4	8
you ever	8
vehicle partially	8
copies for	8
the charges	8
info to	8
him we	8
are requesting	8
in 203	8
to family	8
place on	8
any sort	8
traffic here	8
you she's	8
513 medic	8
be 28	8
room 107	8
number 107	8
your arrival	8
naturally ventilated	8
a glass	8
14 000	8
000 detroit	8
212 i'll	8
hours now	8
set yes	8
light detroit	8
lights off	8
in 4	8
the lead	8
keep coming	8
an illinois	8
the operator	8
covered a	8
heard you	8
back 1	8
back there's	8
foot 200	8
belong to	8
charlie john	8
now walking	8
walking the	8
left at	8
a potential	8
lakewood car	8
said yes	8
female found	8
the vent	8
walk him	8
ford mustang	8
shall be	8
the tv	8
apartment was	8
owner's moving	8
ida queen	8
minutes on	8
was injured	8
around on	8
remember the	8
three males	8
on track	8
has pain	8
points on	8
transport release	8
to feed	8
building number	8
1538 west	8
vehicle again	8
was never	8
squad in	8
a on	8
run at	8
on 15	8
one minute	8
anything up	8
12 if	8
dropping off	8
5 will	8
apartment 12	8
dci i'll	8
route 19	8
be picked	8
employee from	8
with what	8
not copy	8
lodge 11837	8
2139 glenberry	8
calls the	8
lake i	8
1450 belle	8
belle the	8
getting to	8
it 10	8
arthur in	8
name in	8
cars have	8
a stray	8
a in	8
people were	8
hill to	8
on companies	8
cautions armed	8
a probation	8
juvenile was	8
23 on	8
have i	8
ocean henry	8
you're with	8
even if	8
on black	8
one it	8
zebra henry	8
from lakeland	8
downstairs unit	8
he hears	8
it coming	8
ovt for	8
madison but	8
10-4 any	8
has severe	8
come with	8
you transfer	8
chesterland and	8
utility pole	8
216 are	8
sent him	8
herself and	8
chrysler 200	8
info but	8
look to	8
we only	8
negative we	8
entry to	8
me anywhere	8
an alert	8
who took	8
you my	8
already you	8
around outside	8
10-3 respond	8
be like	8
is daniel	8
at 118	8
thanks i'm	8
and turned	8
say she	8
hat on	8
10-8 on	8
of noise	8
number 28	8
he's inside	8
right and	8
be either	8
brown is	8
those individuals	8
of 2002	8
10-7 is	8
male screaming	8
for quite	8
29 of	8
her unit	8
his garage	8
there her	8
is occupied	8
william frank	8
been here	8
between warren	8
other two	8
westbound for	8
say anything	8
you heard	8
house has	8
fairview to	8
that fairview	8
how she	8
on he's	8
just pulling	8
minute and	8
around but	8
same last	8
people here	8
just hang	8
she's probably	8
road number	8
been working	8
out when	8
yeah sorry	8
bring you	8
need transported	8
edgewater department	8
the deck	8
start on	8
residential there's	8
have command	8
have 3	8
in need	8
need of	8
detroit can	8
doing that	8
building at	8
being aggressive	8
28 disregard	8
left southbound	8
a partial	8
plate henry	8
but nothing	8
off their	8
her that's	8
up we	8
other info	8
that meal	8
report about	8
to order	8
a south	8
threatened him	8
door there's	8
24 he's	8
for shoplifting	8
be east	8
anything but	8
accident is	8
on i-90	8
20 dl	8
the delta	8
route shortly	8
my copy	8
will check	8
yes sorry	8
towers 125	8
injured her	8
detroit this	8
at 143	8
say he's	8
rear motion	8
saturday and	8
pole number	8
edgewater car	8
11801 clifton	8
18 of	8
service i'll	8
floor smoke	8
sorry is	8
male they're	8
of 2027	8
to speedway	8
and show	8
playing live	8
a jailer	8
weren't able	8
fedor 12400	8
in pain	8
red van	8
3 12400	8
scene it's	8
black on	8
to mail	8
water off	8
marijuana and	8
280 or	8
or 282	8
27 28	8
28 29	8
3 driver	8
burning in	8
station i'm	8
here 10-8	8
who they	8
22 or	8
police matter	8
location on	8
fiber optic	8
you but	8
loop back	8
music in	8
cleveland should	8
her son's	8
black acura	8
12039 edgewater	8
2009 chevy	8
218 i'll	8
since last	8
to 11820	8
should probably	8
gets there	8
as she's	8
there's anybody	8
alright the	8
because you	8
bunts john	8
38 years	8
seen it	8
george 4	8
chevy with	8
possible structure	8
park car	8
is high	8
bag of	8
the total	8
upset with	8
mileage 6	8
just has	8
a probate	8
and about	8
well she	8
the 10-16	8
dl please	8
get 29	8
8 copies	8
a spot	8
walk over	8
cars here	8
you found	8
there yet	8
out fairview	8
robert charlie	8
complaint about	8
like gas	8
a smith	8
14 14	8
in second	8
shows not	8
work we	8
disregard he	8
hurt her	8
address you	8
of middleburg	8
team with	8
having suicidal	8
building for	8
pool station	8
problem at	8
10-8 en	8
1614 lakewood	8
cch on	8
in cove	8
to 12943	8
her arm	8
10-4 dispatch	8
edgewater at	8
just 2	8
clifton is	8
promise file	8
help with	8
building he's	8
17 19	8
plate or	8
she's about	8
number 102	8
it's there	8
and medicine	8
checking at	8
40-year-old male	8
for contempt	8
downstairs neighbor	8
building i'm	8
having any	8
to hurt	8
and leaving	8
d u	8
way of	8
the cable	8
oncoming traffic	8
in mckinley	8
and cut	8
leaking gas	8
number 104	8
elevator on	8
with fire	8
i'm happy	8
the bedroom	8
at at	8
taken out	8
the x	8
open that	8
phone to	8
phone from	8
on quail	8
17 it's	8
him 1	8
robert first	8
to if	8
start another	8
another squad	8
no warrants	8
lakewood yard	8
edgewater room	8
303 medic	8
detroit said	8
and swearing	8
or phone	8
waiting downstairs	8
2700 lake	8
please medic	8
bunts room	8
you again	8
jump off	8
for 16	8
and of	8
be 10-4	8
apartment it's	8
times there's	8
a prior	8
we'll we'll	8
counter please	8
skyview manor	8
guy is	8
confirm please	8
she's inside	8
this all	8
apartment or	8
went northbound	8
get over	8
dispatch could	8
involved and	8
not emergency	8
hope you	8
the lockout	8
are doing	8
while you	8
grab some	8
behind and	8
minute or	8
missing person	8
thomas blackburn	8
to clarence	8
stop that	8
apartment 414	8
door here	8
you hand	8
to lockout	8
medic 117	8
have on	8
what's up	8
center west	8
edgewater square	8
female thinks	8
was removed	8
2 would	8
out looks	8
a volkswagen	8
one the	8
hello i'm	8
happy to	8
transport in	8
parking citation	8
the parks	8
gray jacket	8
water for	8
now do	8
proper code	8
done it	8
12060 lake	8
heading westbound	8
205 that	8
you bye	8
we stopped	8
command in	8
by switching	8
2 all	8
me her	8
entry and	8
using route	8
anything of	8
be calling	8
her this	8
station 202	8
pd is	8
she's down	8
harassed by	8
a vacuum	8
1 there	8
12 1	8
done on	8
plates for	8
cited driveway	8
apartment on	8
the 6	8
york state	8
west just	8
gave them	8
run on	8
detroit there	8
bag with	8
south from	8
mean to	8
towers 11720	8
smoke no	8
olmstead for	8
a 42	8
mazda 3	8
a table	8
blue hat	8
number 308	8
station parking	8
stair chair	8
zebra nora	8
yes thank	8
the officer's	8
himself he's	8
the mouth	8
apartment 1007	8
they're concerned	8
today he	8
10-4 are	8
not responsive	8
okay to	8
we're sending	8
the reserve	8
very upset	8
boulevard in	8
kia sorento	8
it anymore	8
to and	8
black gmc	8
elber lane	8
are yelling	8
per hour	8
passing west	8
take one	8
01 detroit	8
listed at	8
got like	8
and 40	8
hear some	8
adam charles	8
your city	8
edgewater he	8
apartment 204	8
1384 beach	8
resident has	8
we cut	8
the 10th	8
to on	8
a statement	8
lake ave	8
moved i	8
debris in	8
to there	8
west at	8
301 for	8
robin the	8
apartment 520	8
two minutes	8
think my	8
just made	8
be involved	8
run and	8
speak english	8
front he	8
to michael	8
way but	8
lane of	8
you shut	8
edgewater is	8
couldn't hear	8
to i-90	8
canceled no	8
id for	8
kill him	8
up an	8
know she's	8
for ag	8
park when	8
same as	8
name edward	8
name but	8
on private	8
talking loud	8
just drive	8
victor zebra	8
sitting here	8
winter haven	8
307 for	8
i'm adding	8
birth when	8
apartment we're	8
we already	8
her landlord	8
x-ray william	8
his family	8
please transfer	8
off so	8
sometime last	8
there then	8
office john	8
updated location	8
203 we're	8
loud noises	8
resident on	8
units in	8
his stuff	8
up as	8
head she	8
name lincoln	8
hall for	8
edgecliff manor	8
and resisting	8
confirm this	8
through michigan	8
his medical	8
charlie side	8
also back	8
dump truck	8
look into	8
12231 clifton	8
said something	8
her stuff	8
hat black	8
park he	8
homeless and	8
lewis the	8
house now	8
the 14300	8
19 what's	8
get anywhere	8
easy out	8
younger black	8
entrance of	8
25 minutes	8
1 minute	8
117th can	8
1 also	8
listing come	8
clifton engine	8
male red	8
headed back	8
you help	8
maybe i	8
10 the	8
second car	8
listing it's	8
the volkswagen	8
obt and	8
4 or	8
they're supposed	8
unit 16	8
title it	8
273 and	8
this station	8
is inside	8
13 at	8
being in	8
dunkin donuts	8
weapons under	8
old no	8
road job	8
lost the	8
13751 madison	8
32 years	8
david 8	8
should get	8
making any	8
into some	8
room motion	8
clearance the	8
charles john	8
anything so	8
was sleeping	8
her father	8
scene there's	8
yes this	8
in 12	8
lane 1	8
her garage	8
last four	8
route i'm	8
wires are	8
the transformer	8
second and	8
had left	8
him not	8
chasing him	8
he's parked	8
copies we	8
happened about	8
care for	8
is suicidal	8
2023 nissan	8
who that	8
tom william	8
the detector	8
that honda	8
1556 newman	8
apartment 605	8
the buildings	8
service as	8
off now	8
male blue	8
it like	8
17 name	8
you they	8
i must	8
second caller	8
room 203	8
boyd edward	8
keep checking	8
good thanks	8
alarms going	8
10 madison	8
your personal	8
yeah my	8
bunts o'neill	8
me they	8
and reset	8
okay sounds	8
maybe we	8
lake it's	8
copy sorry	8
covered someone	8
atkins medic	8
firearms in	8
she needed	8
the general	8
was disconnected	8
mcdonald's with	8
just sleeping	8
a 45	8
going home	8
bring them	8
know he's	8
refusal signed	8
northbound at	8
them we're	8
of marlowe	8
month old	8
copy with	8
just find	8
answering his	8
the turn	8
madison near	8
to escort	8
214 i'll	8
squad with	8
updated cad	8
how the	8
there's people	8
throwing items	8
detail he's	8
she's sitting	8
to launch	8
boyfriend was	8
those kids	8
it okay	8
while on	8
male looks	8
month for	8
he works	8
know a	8
14 or	8
your right	8
feet tall	8
run up	8
she hears	8
queen 7	8
southwest really	8
to bed	8
road it's	8
sure this	8
to anybody	8
she turned	8
215 10-7	8
inside to	8
cove i	8
blue pants	8
say i	8
green hoodie	8
black sweatpants	8
things being	8
grove for	8
me clear	8
john 6	8
the off	8
12 21	8
a 52	8
you stay	8
leave that	8
25 for	8
is lpd	8
squad we're	8
garage she	8
to corky's	8
will head	8
frank zebra	8
gray sweatshirt	8
pants the	8
and dl	8
complaint he	8
driving around	8
color the	8
book bag	8
leave his	8
plate the	8
117 clifton	8
inside that	8
our meter	8
14530 madison	8
dispatching all	8
14 11	8
and hall	8
16 of	8
house we	8
exactly sure	8
7 detroit	8
call 1	8
73 we're	8
patient assisted	8
car available	8
outside but	8
walking over	8
so now	8
3 frank	8
issued myself	8
202 for	8
release on	8
on brown	8
be north	8
here said	8
tracks and	8
19 o'clock	8
19 she's	8
her money	8
this might	8
residents are	8
has high	8
no driver	8
everyone can	8
van on	8
x-ray edward	8
belle mason	8
just says	8
paul william	8
advised about	8
and hasn't	8
a perimeter	8
on clarence	8
his neighbor's	8
just because	8
shot himself	8
out her	8
now going	8
26 1	8
white tank	8
just cleared	8
to alger	8
tracks john	8
hopkins and	8
zebra john	8
counter and	8
suicidal female	8
area here	8
clifton we're	8
area checked	8
boyd george	8
is victor	8
27 if	8
15 30	8
truck 3	8
it yes	8
i took	8
a low-hanging	8
left he	8
in 25	8
and co	8
on team	8
a 78	8
it's getting	8
was screaming	8
contact cleveland	8
with 4	8
contact info	8
knife and	8
his pocket	8
somebody out	8
just hung	8
lines and	8
pull the	8
the 25	8
200 madison	8
be related	8
store he's	8
st james	8
reinstate no	8
pulling on	8
15 from	8
way if	8
just confirming	8
coughing please	8
about 7	8
planning on	8
officer that	8
leaving in	8
your end	8
jeans a	8
17 king	8
4 17	8
of calls	8
and margaret	8
1514 hopkins	8
17 medic	8
3 hours	8
side cars	8
to access	8
lot there's	8
zebra tom	8
19 a	8
alger for	8
3 madison	8
fire out	8
fell possibly	8
19c dispatch	8
90 on	8
fry overlook	8
city phone	8
to 1433	8
gave us	8
the actual	8
come off	8
care at	8
main library	8
copy but	8
15610 madison	8
between mckinley	8
advised i'm	8
oh the	8
arguing for	8
that's locked	8
3 beats	8
coutant number	8
sweatpants and	8
there refusing	8
park she	8
copy nicholson	8
mckinley overpass	8
being followed	8
guys wanna	8
couple plates	8
to number	8
lakewood garden	8
same date	8
pickup out	8
before that	8
it she's	8
back seat	8
that over	8
he's detained	8
with dark	8
copies from	8
ahead did	8
park now	8
update on	8
can't make	8
under control	8
black hooded	8
khaki pants	8
at 1342	8
northbound towards	8
the eastern	8
up your	8
calling now	8
from across	8
you almost	8
a doordash	8
doordash driver	8
who were	8
down into	8
john x	8
david charlie	8
edward 2	8
of mayfield	8
2 station	8
the urgent	8
copy 20	8
advised i'll	8
tattoos on	8
a 44	8
up it	8
one south	8
if someone's	8
inn for	8
child is	8
sighted the	8
when we're	8
and noticed	8
male green	8
evaluated declined	8
in command	8
1438 hopkins	8
time tag	8
1279 andrews	8
wants no	8
and id	8
can log	8
send to	8
camera i	8
to 208	8
drive around	8
aren't working	8
208 go	8
caution shows	8
a generator	8
arm and	8
ridgewood medic	8
to wagar	8
or smell	8
have gone	8
cei is	8
224 respond	8
to bp	8
2061 carabel	8
information i'm	8
from giant	8
1245 hathaway	8
7 or	8
the dealer	8
a wallet	8
out all	8
ahead male	8
up there's	8
traffic or	8
complainant will	8
back no	8
on chesterland	8
get 14	8
ahead he's	8
2 500	8
on no	8
second time	8
car are	8
he only	8
that so	8
2009 morrison	8
summer's greatest	8
greatest hits	8
our lowest	8
lowest prices	8
prices of	8
macy's savings	8
at around	8
heights a	8
73 do	8
license but	8
the richland	8
273 go	8
property tree	8
sam yesterday	8
upstairs 37	8
be 3	8
to days	8
to 27	8
unsure where	8
pants black	8
black expires	8
is following	8
not drive	8
hour in	8
that info	8
too loud	8
be by	8
north lot	8
covered the	8
working with	8
door 1	8
east for	8
there yeah	8
ahead a	8
1 check	8
side there's	8
for wires	8
16915 detroit	8
bravo side	8
25 off	8
valid cdl	8
207 are	8
probably 10	8
there's 4	8
4 people	8
issues in	8
no reason	8
1323 lakewood	8
at dollar	8
easier to	8
4 he's	8
shorts black	8
1447 ridgewood	8
20 black	8
green out	8
end pub	8
11922 madison	8
riverside medic	8
bike and	8
ahead frank	8
here was	8
union our	8
insured by	8
by ncua	8
13437 clifton	8
drove off	8
wants that	8
not needed	8
or 7	8
criminal tools	8
7 of	8
red buick	8
isn't in	8
apartment 410	8
3 15	8
a jean	8
27 that	8
fireworks in	8
double checking	8
houses north	8
202 could	8
explains that	8
hundred and	8
clifton near	8
for 39	8
a misunderstanding	8
1 211	8
our flight	8
tsa precheck	8
flagship credit	8
male status	8
station launch	8
goes by	8
private tree	8
13535 detroit	8
they're already	8
these individuals	8
1322 sloan	8
225 can	8
be some	8
port number	8
bus shelter	8
and wanted	8
property impound	8
it's quite	8
robert 7	8
the motorcycle	8
him walking	8
o l	8
12 just	8
pc was	8
checked there	8
in arlington	8
vehicle 1	8
of way	8
an o	8
personal phone	8
have at	8
area no	8
lakeland the	8
shorts a	8
else checks	8
in january	8
apartment b	8
flying rib	8
affirmative i	8
with on	8
any fireworks	8
david last	8
1 by	8
start up	8
clifton arlington	8
experience a	8
from lincoln	8
don't hear	8
park haven	8
robert boy	8
figured out	8
new vehicle	8
6 at	8
t at	8
one's responding	8
check-in for	8
14227 delaware	8
the blackbird	8
sorry do	8
we may	8
copy new	8
address was	8
25 years	8
8 10	8
be clifton	8
berea in	8
on wascana	8
03 2002	8
104 in	8
vehicle side	8
and 108	8
couple 10	8
wanna place	8
gonna transport	8
02 08	8
70 9	8
0 copy	8
20 '2	8
city 10	8
george 5	8
her 2	8
05 00	8
14 8	8
6 engine	8
08 and	8
there's 3	8
door black	8
wanna get	8
gonna return	8
10107 at	8
30 1	8
08 19	8
wanna just	8
how may	8
expired 02	8
02 and	8
is 08	8
5601 madison	8
1 43	8
b 10	8
30 2	8
slow rolling	8
or 108	8
7 11	8
'1 17	8
12 30	8
02 can	8
birth 04	8
are 10	8
said 108	8
an expiration	8
60 brown	8
1 echo	8
09 30	8
channel companies	8
to waterbury	8
0 west	8
at 09	8
wagon place	8
you 1	8
cleveland 08	8
for 108	8
tom 2	8
15 connect	8
06 01	8
04 11	8
20 18	8
on '17	8
03 20	8
108 with	8
1 same	8
02 30	8
13 10	8
expired 01	8
to hurd's	8
coughing for	8
for commercial	8
02 00	8
20 '5	8
medic 0	8
14 dl	8
zebra 5	8
in store	8
expires 08	8
22 almost	8
henry 4	8
07 11	8
walgreens 1	8
70 8	8
104 i'll	8
15 what	8
expires 01	8
1 55	8
zebra 2	8
2511 clifton	8
16 30	8
henry 2	8
between nicholson	8
set 108	8
hour 10	8
14 amount	8
15118 detroit	8
by 1	8
available now	8
2 white	8
valley no	8
of nebraska	8
comma spelling	8
and elbur	8
at 14760	8
courtesy 2026	8
proof credit	8
she helped	8
violence and	7
22 he	7
second to	7
again if	7
code 2	7
didn't need	7
in again	7
code 1	7
that accident	7
lost his	7
so no	7
traffic was	7
out no	7
her mother's	7
court and	7
to adam	7
and adam	7
man that	7
in last	7
a zone	7
turns out	7
easy to	7
com or	7
ones who	7
boy young	7
for weapons	7
210 i'm	7
been disregarded	7
220 you	7
lakewood in	7
off franklin	7
say your	7
of summit	7
the make	7
be warren	7
expired on	7
be taken	7
the late	7
get our	7
radio clearance	7
car we'll	7
way this	7
violation the	7
occupied times	7
the like	7
mazda station	7
off running	7
22 that's	7
body cam	7
see i'm	7
and acting	7
footage of	7
complainant didn't	7
follow the	7
assist lsd	7
off she's	7
top floor	7
fourth floor	7
building we	7
have nothing	7
i'll copy	7
lincoln date	7
cleveland 28	7
in brown	7
area where	7
place and	7
belongings and	7
32 i'm	7
parma heights	7
hasn't had	7
numbers again	7
it thanks	7
a left	7
dispatch medicare	7
11 she's	7
off they	7
left lane	7
clear us	7
9 from	7
lyft driver	7
it being	7
room 239	7
having back	7
house there's	7
downstairs car	7
the hotel	7
patient at	7
10-9 i	7
from edgewater	7
set over	7
if anybody's	7
for 9	7
to choose	7
the job	7
that's great	7
by two	7
two other	7
second listing	7
listing comes	7
2148 waterbury	7
a downstairs	7
is transforming	7
the doctor	7
i edit	7
edit notes	7
1-4600 detroit	7
subaru forester	7
this alarm	7
employees called	7
it took	7
uto we'll	7
on by	7
117th detroit	7
2 200	7
the cover	7
way she	7
and should	7
him this	7
crossing over	7
was added	7
green light	7
zebra zebra	7
room 215	7
side for	7
can disturb	7
9 10-8	7
11 30	7
money he	7
sedan that's	7
sam george	7
that red	7
of trespass	7
her when	7
the 22	7
13 notes	7
in october	7
pretty big	7
but looks	7
go we're	7
order and	7
walter lincoln	7
neighbor that	7
any music	7
17 new	7
mva one's	7
13 will	7
a texas	7
x-ray victor	7
watching the	7
immigrant son	7
car not	7
and paraphernalia	7
mac 2's	7
search and	7
190 black	7
the investigation	7
awake and	7
honda suv	7
court assisted	7
living 13315	7
ohio city	7
advised his	7
to king	7
10-4 215	7
separated we'll	7
202 if	7
fairview 117th	7
make him	7
i a	7
set can	7
of them's	7
at address	7
to 1510	7
off 10-8	7
suspect's vehicle	7
say it's	7
parked his	7
car come	7
just seen	7
building management	7
clifton andrews	7
enough for	7
state valid	7
probably in	7
here's one	7
w 117th	7
cit report	7
just here	7
location and	7
hilliard the	7
just note	7
number just	7
owner she	7
park is	7
some info	7
into cars	7
they made	7
he then	7
at king	7
listed for	7
contact at	7
if one	7
the subaru	7
2022 toyota	7
involvement at	7
23 you're	7
i work	7
number 21	7
been sleeping	7
reason why	7
services llc	7
manor 11849	7
that lakewood	7
close and	7
on engine	7
lakewood lakewood	7
9 a	7
hold there	7
to reason	7
children that	7
copy heard	7
23 10-4	7
10-8 you're	7
so long	7
they only	7
a mobile	7
once i'm	7
5 brown	7
28 in	7
good we'll	7
me he's	7
it also	7
inside we'll	7
10-4 10	7
64 i'll	7
last three	7
thanks a	7
a nuisance	7
hello and	7
king norah	7
traffic please	7
westerly 143	7
wagar the	7
room smoke	7
fire was	7
a two-car	7
at i'm	7
and cranford	7
previous events	7
parties arguing	7
residents were	7
brown in	7
color was	7
what floor	7
on copies	7
safe and	7
ems calls	7
black first	7
female client	7
to list	7
like anyone's	7
they're here	7
person and	7
that possibly	7
that intersection	7
4 madison	7
fire a	7
117th madison	7
traffic control	7
edward ida	7
1 henry	7
mva minor	7
there you're	7
the ride	7
check i'm	7
remain unseen	7
female went	7
you talking	7
right i	7
apartment 9	7
mean i	7
it's stuck	7
west forest	7
second call	7
is vance	7
on 6	7
dropped him	7
and throw	7
2015 lark	7
enter that	7
both white	7
all gray	7
and morrison	7
that go	7
10-7 standing	7
to i'm	7
last names	7
down i'm	7
downstairs male	7
to charge	7
the adult	7
kill herself	7
king at	7
front window	7
that resident	7
to 217	7
sober party	7
your info	7
female 5'3	7
180 black	7
report i	7
5 10-7	7
some officers	7
dispatch copies	7
set tonight	7
you enter	7
their parking	7
terms and	7
station please	7
22 same	7
she only	7
him you	7
a street	7
him 24	7
right for	7
3 what	7
of light	7
person was	7
hill and	7
apartment i'm	7
5 we'll	7
property we're	7
correction medic	7
potential companies	7
of family	7
kill himself	7
service they	7
in winchester	7
to approach	7
is heading	7
heading in	7
expires august	7
around her	7
12 22	7
aldi parking	7
pay for	7
warren john	7
other charges	7
misdemeanor theft	7
gladys and	7
please turn	7
clothing and	7
vehicle right	7
been at	7
13 what	7
and right	7
burg alarm	7
26 she's	7
17 you're	7
high heart	7
hilliard riverside	7
lakewood just	7
2012 black	7
owner i'm	7
church for	7
next is	7
on like	7
will start	7
sedan that	7
on tuesday	7
and headed	7
and drive	7
can describe	7
not 100	7
madison mars	7
valid 10-4	7
walgreens 117-01	7
to buy	7
for whatever	7
the brookfield	7
him it	7
truck blue	7
walk around	7
or have	7
parked near	7
was locked	7
walk out	7
shoes and	7
to 26	7
13 they're	7
anything matching	7
she's here	7
sorry medic	7
2006 toyota	7
she lost	7
violation original	7
passenger and	7
open i'm	7
1385 riverside	7
earlier at	7
route could	7
copy roger	7
paul norah	7
21 all	7
the obt	7
is some	7
alarm but	7
front car	7
16 listening	7
lincoln i'll	7
charles william	7
or possibly	7
cove be	7
giving her	7
plate 1	7
24 it's	7
to 12400	7
of lakeland	7
gas king	7
and vomiting	7
no but	7
building it's	7
thinks there's	7
home i	7
his birthday	7
23 valid	7
the small	7
i run	7
through clear	7
it lists	7
11 she	7
a card	7
him being	7
16 franklin	7
listening for	7
mva involving	7
truck here	7
plates on	7
and contact	7
we cleaned	7
had me	7
i d	7
the funeral	7
through an	7
the 2019	7
david 9	7
224 10-8	7
thanks i'll	7
this room	7
i live	7
unlock the	7
to waterford	7
a case	7
silver and	7
10-4 sorry	7
lincoln 3	7
station 13	7
not giving	7
you he	7
where his	7
the sunoco	7
is william	7
detroit matthews	7
lying on	7
name george	7
on matthews	7
probably like	7
of 2016	7
a virginia	7
5 he	7
here tonight	7
any parking	7
lobby right	7
of 5	7
unit is	7
just meet	7
ed to	7
passenger in	7
tampered with	7
fire away	7
bar motion	7
i read	7
red subaru	7
call 9-1-1	7
welcome back	7
10-8 24	7
no not	7
dispatch maxi's	7
if nobody's	7
upstairs female	7
only able	7
did call	7
29 10	7
205 he's	7
parked over	7
11843 edgewater	7
gold toyota	7
24 did	7
her silver	7
have hit	7
of burger	7
such as	7
and halstead	7
fire up	7
there looks	7
of trespassing	7
longer there	7
maintenance and	7
lincoln boy	7
the 1600	7
hilliard mckinley	7
24 at	7
wasn't very	7
1450 west	7
customer was	7
an anthony	7
parking and	7
this number	7
light madison	7
her chest	7
edge of	7
house i'm	7
an 88	7
female nurse	7
copies disregard	7
detroit is	7
left she's	7
13 same	7
you traffic	7
vehicles have	7
10-7 the	7
something with	7
to exit	7
exit the	7
garage is	7
a transfer	7
10 2	7
marlowe king	7
24 check	7
number 22	7
suspended and	7
corky's 13302	7
can disperse	7
pardon me	7
just watch	7
building checks	7
ok we'll	7
no name	7
thanks everyone	7
area everything	7
point is	7
to sloan	7
and lauderdale	7
second we're	7
tendencies known	7
both males	7
berea i'm	7
this sunday	7
they're checking	7
car door	7
madison can	7
2024 ford	7
come talk	7
saying his	7
one stop	7
where's that	7
and him	7
remainder of	7
listing and	7
hear people	7
the answer	7
apartment 404	7
has left	7
wash please	7
said she'd	7
stays in	7
to 12506	7
notice left	7
listing edward	7
you'll have	7
do 19	7
resident is	7
car's in	7
and 116th	7
offense caution	7
in action	7
time so	7
a nose	7
a daniel	7
born in	7
that 10-16	7
number 603	7
john norah	7
gonna advise	7
vehicle moves	7
noticed a	7
have enbridge	7
odor coming	7
of no	7
apartment 721	7
keeps passing	7
we're driving	7
is 7	7
a parent	7
is sgt	7
on duty	7
reporting to	7
jailer ending	7
released by	7
past mckinley	7
those other	7
block at	7
90 and	7
from over	7
like that's	7
the plane	7
cleveland data	7
brown i'm	7
with 28	7
please pick	7
returning car	7
there anymore	7
dad and	7
22 with	7
charlie mary	7
arthur just	7
ready i'm	7
place king	7
203 on	7
seeing it	7
5 just	7
scott out	7
cleveland 1	7
under us	7
tow and	7
quite on	7
11 12	7
make my	7
separate ways	7
clear if	7
you their	7
failed to	7
to chart	7
coughing up	7
for warren	7
apartment 11	7
to webb	7
plate series	7
stairs and	7
manager is	7
also checked	7
a wrap	7
woodward with	7
off car	7
spelling first	7
209 go	7
male have	7
william ida	7
and kenilworth	7
franklin west	7
216 we'll	7
2 south	7
from cart	7
copy edgewater	7
90 brown	7
chrysler 4	7
driveway to	7
is 16	7
while he's	7
by you	7
black bmw	7
detail we'll	7
disregard station	7
119th and	7
3 weeks	7
his shoulder	7
you transporting	7
the shoulder	7
2 staging	7
first thing	7
building was	7
be investigated	7
for joining	7
several days	7
mike 1	7
westbound lanes	7
threatened her	7
king parking	7
there may	7
notes will	7
10-4 companies	7
area to	7
rest for	7
25 27	7
out west	7
lakeland female	7
spot on	7
11904 detroit	7
26 stall	7
people being	7
a 75-year-old	7
75-year-old female	7
such a	7
are eastbound	7
terminated at	7
or outside	7
building he	7
still around	7
anybody has	7
rise and	7
okay from	7
can't really	7
adams sam	7
then that	7
trespassing at	7
old mother	7
be safe	7
detroit elevator	7
was laying	7
had just	7
threatening suicide	7
to wake	7
and making	7
21 we	7
doesn't work	7
is cancelled	7
send another	7
ocean zebra	7
someone get	7
ones out	7
detroit resident	7
august of	7
truck but	7
hi i	7
at signature	7
211 10-4	7
temporarily out	7
and 318	7
25 211	7
a sign	7
after this	7
